class,user_accuracy,producer_accuracy,f1_score,support,setting_id,n_estimators,max_features,min_samples_leaf,class_weight,model,reference_note
Pulses / field beans and peas,0.5412371134020618,0.49528301886792453,0.5172413793103449,212.0,rf_09,300,log2,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8140703517587939,0.7714285714285715,0.7921760391198044,210.0,rf_09,300,log2,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7916666666666666,0.7772727272727272,0.7844036697247706,220.0,rf_09,300,log2,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8385650224215246,0.8461538461538461,0.8423423423423423,221.0,rf_09,300,log2,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8379629629629629,0.8116591928251121,0.8246013667425968,223.0,rf_09,300,log2,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6651982378854625,0.695852534562212,0.6801801801801802,217.0,rf_09,300,log2,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8820754716981132,0.9033816425120773,0.8926014319809069,207.0,rf_09,300,log2,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.8029556650246306,0.7652582159624414,0.7836538461538461,213.0,rf_09,300,log2,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.6431718061674009,0.6886792452830188,0.6651480637813212,212.0,rf_09,300,log2,3,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7168949771689498,0.7476190476190476,0.7319347319347319,210.0,rf_10,300,log2,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7395348837209302,0.7227272727272728,0.7310344827586207,220.0,rf_10,300,log2,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.7098039215686275,0.8190045248868778,0.7605042016806722,221.0,rf_10,300,log2,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.803921568627451,0.7354260089686099,0.7681498829039812,223.0,rf_10,300,log2,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.5787401574803149,0.6774193548387096,0.6242038216560509,217.0,rf_10,300,log2,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8358974358974359,0.7874396135265701,0.8109452736318408,207.0,rf_10,300,log2,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7195767195767195,0.6384976525821596,0.6766169154228856,213.0,rf_10,300,log2,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.53125,0.4811320754716981,0.504950495049505,212.0,rf_10,300,log2,3,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8258706467661692,0.7904761904761904,0.8077858880778589,210.0,rf_10,300,log2,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.8084112149532711,0.7863636363636364,0.7972350230414746,220.0,rf_10,300,log2,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8311111111111111,0.8461538461538461,0.8385650224215246,221.0,rf_10,300,log2,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8418604651162791,0.8116591928251121,0.8264840182648402,223.0,rf_10,300,log2,3,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
